LAST SEEN   TYPE      REASON                  OBJECT                                    MESSAGE
17m         Normal    Created                 pod/webnote-0                             Container created
17m         Normal    Pulled                  pod/webnote-0                             Container image "busybox:1.37" already present on machine and can be accessed by the pod
17m         Normal    Created                 pod/webnote-1                             Container created
17m         Normal    Created                 pod/static-writer                         Container created
17m         Normal    Started                 pod/webnote-0                             Container started
17m         Normal    Pulled                  pod/webnote-0                             Container image "nginx:1.31-alpine" already present on machine and can be accessed by the pod
17m         Normal    Started                 pod/static-writer                         Container started
17m         Normal    Pulled                  pod/webnote-1                             Container image "nginx:1.31-alpine" already present on machine and can be accessed by the pod
17m         Normal    Created                 pod/webnote-0                             Container created
17m         Normal    Started                 pod/webnote-2                             Container started
17m         Normal    Created                 pod/webnote-2                             Container created
17m         Normal    Pulled                  pod/webnote-2                             Container image "nginx:1.31-alpine" already present on machine and can be accessed by the pod
17m         Normal    Started                 pod/postgres-0                            Container started
17m         Normal    Started                 pod/webnote-1                             Container started
17m         Normal    Started                 pod/webnote-2                             Container started
17m         Normal    Started                 pod/webnote-0                             Container started
17m         Normal    Started                 pod/webnote-1                             Container started
12m         Normal    Killing                 pod/postgres-0                            Stopping container postgres
12m         Normal    Pulled                  pod/postgres-0                            Container image "postgres:16-alpine" already present on machine and can be accessed by the pod
12m         Normal    Scheduled               pod/postgres-0                            Successfully assigned dso202-practical-02/postgres-0 to worker-node-2
12m         Normal    Created                 pod/postgres-0                            Container created
12m         Normal    Started                 pod/postgres-0                            Container started
9m57s       Normal    Scheduled               pod/postgres-0                            Successfully assigned dso202-practical-02/postgres-0 to worker-node-2
9m57s       Normal    Killing                 pod/postgres-0                            Stopping container postgres
9m56s       Normal    Created                 pod/postgres-0                            Container created
9m56s       Normal    Pulled                  pod/postgres-0                            Container image "postgres:16-alpine" already present on machine and can be accessed by the pod
9m56s       Normal    Started                 pod/postgres-0                            Container started
9m52s       Normal    Killing                 pod/postgres-0                            Stopping container postgres
9m51s       Normal    SuccessfulCreate        statefulset/postgres                      Create Pod postgres-0 in StatefulSet postgres successful
9m51s       Normal    Scheduled               pod/postgres-0                            Successfully assigned dso202-practical-02/postgres-0 to worker-node-2
9m50s       Normal    Started                 pod/postgres-0                            Container started
9m50s       Normal    Created                 pod/postgres-0                            Container created
9m50s       Normal    Pulled                  pod/postgres-0                            Container image "postgres:16-alpine" already present on machine and can be accessed by the pod
5m22s       Normal    Killing                 pod/postgres-0                            Stopping container postgres
5m15s       Normal    SuccessfulCreate        statefulset/postgres                      Create Claim data-postgres-0 Pod postgres-0 in StatefulSet postgres success
5m15s       Normal    WaitForFirstConsumer    persistentvolumeclaim/data-postgres-0     waiting for first consumer to be created before binding
5m15s       Normal    ExternalProvisioning    persistentvolumeclaim/data-postgres-0     Waiting for a volume to be created either by the external provisioner 'rancher.io/local-path' or manually by the system administrator. If volume creation is delayed, please verify that the provisioner is running and correctly registered.
5m15s       Normal    Provisioning            persistentvolumeclaim/data-postgres-0     External provisioner is provisioning volume for claim "dso202-practical-02/data-postgres-0"
5m12s       Normal    ProvisioningSucceeded   persistentvolumeclaim/data-postgres-0     Successfully provisioned volume pvc-404efeee-444e-47e9-a608-a88fc6db83ae
5m11s       Normal    Pulled                  pod/postgres-0                            Container image "postgres:16-alpine" already present on machine and can be accessed by the pod
5m11s       Normal    Created                 pod/postgres-0                            Container created
5m11s       Normal    Started                 pod/postgres-0                            Container started
5m11s       Normal    Scheduled               pod/postgres-0                            Successfully assigned dso202-practical-02/postgres-0 to worker-node-2
5m4s        Normal    Killing                 pod/postgres-0                            Stopping container postgres
5m3s        Normal    Scheduled               pod/postgres-0                            Successfully assigned dso202-practical-02/postgres-0 to worker-node-2
5m2s        Normal    Started                 pod/postgres-0                            Container started
5m2s        Normal    Created                 pod/postgres-0                            Container created
5m2s        Normal    Pulled                  pod/postgres-0                            Container image "postgres:16-alpine" already present on machine and can be accessed by the pod
113s        Normal    Killing                 pod/postgres-0                            Stopping container postgres
112s        Normal    Scheduled               pod/postgres-0                            Successfully assigned dso202-practical-02/postgres-0 to worker-node-2
112s        Normal    Pulled                  pod/postgres-0                            Container image "postgres:16-alpine" already present on machine and can be accessed by the pod
112s        Normal    Created                 pod/postgres-0                            Container created
112s        Normal    Started                 pod/postgres-0                            Container started
112s        Normal    SuccessfulCreate        statefulset/postgres                      Create Pod postgres-0 in StatefulSet postgres successful
